source,media_tags
kaltim kita,kaltimkita|national|website|indonesia|general|balikpapan|kalimantantimur|ebdeskind
new strait times,portal|technology|ebdeskmy|malaysia|newstraittimes|bukalapak|ebdeskind|international
tanjung pinang pos,tanjungpinangpos|national|website|indonesia|general|ebdeskind
the washington times,ebdeskmy|portal|thewashingtontimes|unitedstates
daily news and analysis,india|ebdeskmy|portal|dailynewsandanalysis|ebdeskind|international
dinamika kepri news,dinamikakeprinews|general|national|website|indonesia|dewanpers|tni|ebdeskind
dorr online news,dorronlinenews|national|website|indonesia|general|ebdeskind
koranmakassar.com,koranmakassar.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
kosmo,portal|kosmo|ebdeskmy|malaysia|general|ebdeskind|international
pilotonline,pilotonline|general|international|unitedstates|ebdeskind
scoop,scoop|general|international|newzealand|ebdeskind
rapormerah.co,rapormerah.co|general|national|website|indonesia|ebdeskind
science daily,sciencedaily|global|portal|ebdeskmy
sulbarupdate,sulbarupdate|national|website|indonesia|general|sulawesibarat|ebdeskind
utusan,mainstream|utusan|technology|utusanonline|ebdeskmy|malaysia|international|ebdeskind
cendekia news,cendekianews|general|national|website|indonesia|ebdeskind
china post,chinapost|china|mainstream|ebdeskmy
detik aceh,detikaceh|national|website|indonesia|general|aceh|ebdeskind
ekspos sulbar,ekspossulbar|general|national|website|indonesia|ebdeskind|sulawesibarat|mamuju
independen9,independen9|general|national|website|indonesia|dewanpers|tni|ebdeskind
international bussiness times,international|australia|internationalbussinesstimes|general|ebdeskind
newsmalaysiamsn,portal|msnmalaysia|ebdeskmy|malaysia
petua dan resepi bonda,malaysia|blog|social|petuadanresepibonda|ebdeskmy
sidoarjo news,sidoarjonews|national|website|indonesia|general|sidoarjo|jawatimur|ebdeskind
amnesty international,amnestyinternational|general|international|unitedstates|ebdeskind
d&c,economic|d&c|international|unitedstates|ebdeskind
for banyuwangi,forbanyuwangi|national|website|indonesia|general|banyuwangi|jawatimur|ebdeskind
gemari.id,gemari.id|national|website|indonesia|general|dkijakarta|ebdeskind
kabar banua,kabarbanua|national|website|indonesia|general|tanahbumbu|kalimantanselatan|ebdeskind
lentera one,lenteraone|general|national|website|indonesia|dewanpers|tni|ebdeskind
manadosiana.com,manadosiana.com|general|national|website|indonesia|dewanpers|ebdeskind
mediatanews,mediatanews|general|national|website|indonesia|ebdeskind
terkini.id,terkini.id|general|national|website|indonesia|ebdeskind
timika bisnis,timikabisnis|national|website|indonesia|general|timika|papua|ebdeskind
gizmo.id,gizmo.id|national|website|indonesia|technology|ebdeskind
ikilho jatim,ikilhojatim|national|website|indonesia|general|surabaya|jawatimur|ebdeskind
